Length,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
   0.15,   1.77,  -0.06,   0.18,-0.39,-0.05, 0.92
   0.22,   0.18,  -0.06,  -0.67,-0.39,-0.03, 0.91
   0.37,   6.04,  -1.04,  -0.37,-0.41,-0.04, 0.92
   0.52,   3.11,  -0.85,  -0.55,-0.39,-0.03, 0.91
   0.67,   2.32,  -0.73,   0.00,-0.40,-0.03, 0.91
   1.04,   6.22,  -1.34,   1.52,-0.41,-0.04, 0.91
   1.71,  -4.15,   0.49,   1.10,-0.40,-0.03, 0.92
   2.15,   3.72,   0.12,   2.26,-0.39,-0.02, 0.91
   2.82,   3.05,  -1.28,   2.01,-0.40,-0.03, 0.92
   3.63,  -7.32,  -1.95,   1.40,-0.40,-0.04, 0.90
   4.67,  -2.56,  -1.52,   1.89,-0.39,-0.05, 0.91
   5.19,  -4.09,  -1.59,  -0.24,-0.40,-0.06, 0.90
   7.27,  -1.46,  -2.07,  -1.16,-0.39,-0.07, 0.91
   8.46,   2.44,  -1.77,  -0.06,-0.38,-0.05, 0.92
  10.31,  -3.23,  -1.34,   0.24,-0.40,-0.07, 0.91
  12.39,   2.44,   1.65,  -1.59,-0.39,-0.06, 0.92
  14.39,   2.07,   2.44,  -3.05,-0.40,-0.06, 0.91
  16.84,   3.05,   4.39,  -2.20,-0.39,-0.01, 0.92
  20.47,  -1.71,   8.23,  -0.73,-0.41,-0.05, 0.91
  23.59,   0.85,   2.07,  -1.71,-0.41,-0.05, 0.90
  25.89,  -2.56,   5.67,  -3.17,-0.42,-0.07, 0.90
  27.97,   1.71,   0.12,  -2.32,-0.42,-0.04, 0.90
  30.04,   0.85,   1.16,  -0.98,-0.42,-0.05, 0.90
  32.79,  -3.29,   3.29,   2.99,-0.42,-0.05, 0.89
  36.20,  -0.37,  -0.98,   1.34,-0.43,-0.06, 0.90
  39.46,  -1.83,   0.43,   1.71,-0.43,-0.07, 0.90
  43.69,  -4.76,  -1.52,   2.01,-0.44,-0.09, 0.90
  48.37,  -7.08,   1.59,   0.98,-0.43,-0.07, 0.89
  53.71,   1.16,   0.06,   3.29,-0.43,-0.07, 0.89
  58.38,   2.99,   1.46,   1.65,-0.42,-0.05, 0.89
  63.50,  -4.57,   1.83,  -1.10,-0.44,-0.08, 0.89
  68.91,  -4.09,   2.13,  -2.62,-0.44,-0.07, 0.89
  74.03,   4.88,  -1.52,  -2.99,-0.44,-0.06, 0.90
  78.48,   1.65,   4.76,  -2.81,-0.44,-0.06, 0.90
  82.86,  -0.31,   2.99,  -1.65,-0.45,-0.09, 0.88
  87.68,  -1.89,   3.90,   0.37,-0.46,-0.10, 0.88
  92.13,  -6.10,   1.22,   3.54,-0.45,-0.09, 0.88
  96.81,  -4.15,   0.67,   0.73,-0.44,-0.09, 0.88
 100.89,  -3.66,   0.31,   2.62,-0.46,-0.12, 0.87
 104.52,  -3.54,  -0.24,   1.77,-0.47,-0.09, 0.88
 108.68,  -4.82,   0.31,   0.98,-0.47,-0.10, 0.87
 113.20,  -6.83,   0.73,   0.18,-0.45,-0.09, 0.88
 117.65,  -2.01,  -0.49,  -0.18,-0.46,-0.11, 0.88
 121.21,   1.16,  -0.12,   0.24,-0.47,-0.11, 0.88
 125.66,   0.98,  -1.04,  -0.24,-0.46,-0.10, 0.87
 130.26,  -1.22,  -1.59,  -0.31,-0.47,-0.13, 0.87
 134.19,   0.98,   0.49,   0.43,-0.47,-0.10, 0.87
 137.01,  -0.79,   0.43,   0.67,-0.48,-0.11, 0.87
 140.20,  -2.81,   1.46,  -0.61,-0.48,-0.11, 0.88
 141.91,   0.85,  -0.18,  -1.04,-0.47,-0.13, 0.86
 143.10,   4.57,  -3.05,  -1.71,-0.46,-0.11, 0.88
 145.03,  -4.15,   2.20,  -1.04,-0.46,-0.10, 0.87
 147.47,   1.71,   0.79,  -0.79,-0.48,-0.11, 0.86
 150.07,   2.26,  -0.24,   0.98,-0.47,-0.09, 0.87
 153.04,  -2.68,   3.29,   0.24,-0.48,-0.09, 0.87
 156.67,   1.40,  -1.46,   0.92,-0.48,-0.10, 0.87
 160.08,  -0.98,   2.13,  -0.37,-0.47,-0.10, 0.86
 163.42,   0.49,   2.32,  -0.73,-0.48,-0.13, 0.86
 165.43,   2.81,  -3.23,  -0.92,-0.49,-0.11, 0.87
 166.76,  -1.40,   1.34,  -2.50,-0.47,-0.10, 0.86
 167.73,   2.44,  -2.50,  -1.46,-0.48,-0.09, 0.86
 168.32,   1.04,  -2.62,  -2.32,-0.48,-0.11, 0.87
 168.54,   5.37,  -1.65,  -2.07,-0.49,-0.10, 0.86
 168.76,   3.84,  -2.32,  -0.67,-0.48,-0.07, 0.87
 169.80,  49.29, -25.01, -38.00,-0.12,-0.35, 1.03
 169.88, -31.42, -14.09, -84.67,-0.10,-0.22, 1.00
