Length,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
   0.52,  -7.87,   0.06,  -1.16,-0.34, 0.02, 0.94
   0.82,  -0.24,  -4.39,  -4.64,-0.33, 0.04, 0.93
   1.11,  -3.17,   0.67,  -1.16,-0.32, 0.04, 0.95
   2.23,  -5.55,  -2.26,  -1.89,-0.33, 0.03, 0.94
   3.26,  -1.04,  -3.17,  -7.50,-0.33, 0.02, 0.94
   4.01,   2.07,   1.10,  -1.65,-0.34, 0.03, 0.93
   5.04,  -5.55,   2.93,  -0.73,-0.33, 0.02, 0.93
   6.01,  -7.81,  -2.93,  -1.89,-0.33, 0.01, 0.93
   7.20,  -5.92,  -1.10,  -0.06,-0.33, 0.01, 0.93
   8.16,  -3.05,  -2.26,  -2.50,-0.33,-0.00, 0.93
   9.35,  -3.66,  -1.83,  -5.86,-0.32,-0.01, 0.94
  10.61,  -3.54,   0.79,  -2.44,-0.33,-0.01, 0.94
  12.17,   0.24,   0.61,   0.55,-0.32,-0.03, 0.93
  13.35,   0.61,   1.59,   2.01,-0.32,-0.03, 0.93
  14.61,  -4.39,  -0.37,  -3.23,-0.32,-0.02, 0.94
  15.95,  -0.85,   0.37,  -2.99,-0.32,-0.04, 0.94
  16.91,  -4.09,   0.31,  -1.10,-0.32,-0.05, 0.95
  18.10,  -0.18,   1.71,   4.09,-0.33,-0.03, 0.93
  19.21,  -6.16,   0.24,  -3.66,-0.33,-0.04, 0.95
  21.22,   2.93,  -0.37,   0.37,-0.33,-0.03, 0.93
  22.85,   2.87,  -8.78,   1.28,-0.31,-0.05, 0.96
  24.33,  -2.44,   0.61,  -5.25,-0.32,-0.04, 0.94
  25.15,   4.64,   1.83,  -8.66,-0.33,-0.04, 0.92
  25.82,   9.64,   2.56,  -2.68,-0.33,-0.03, 0.93
  26.33,  -3.90,   0.18,  -0.12,-0.33,-0.03, 0.94
  27.08,   4.57,   4.57,  11.35,-0.34,-0.03, 0.93
  29.01,   5.61,  -4.88,   4.82,-0.34,-0.02, 0.92
  30.79,  -6.16,  -4.45,  -4.64,-0.33,-0.01, 0.94
  32.42,  -2.44,   4.57,  -2.68,-0.35,-0.02, 0.91
  33.60,   5.92,   0.24,  -2.32,-0.36,-0.03, 0.90
  34.57,   4.33,  -2.99,  -2.01,-0.35,-0.05, 0.93
  35.38,   0.55,  -1.40,  -3.48,-0.36,-0.04, 0.93
  36.65,   1.46,  -2.20,  -2.01,-0.35,-0.05, 0.93
  37.54,  -0.92,   5.55,   2.74,-0.36,-0.06, 0.92
  38.43,  -0.31,   7.44,  -2.38,-0.37,-0.06, 0.91
  39.32,   7.99,  -4.82,  -0.92,-0.37,-0.05, 0.93
  40.58,   5.06,  -0.98,   0.18,-0.37,-0.05, 0.92
  42.51,   4.57,  -2.20,   0.24,-0.36,-0.05, 0.94
  44.43,  -1.40,   5.12,   2.26,-0.38,-0.04, 0.91
  46.22,  -0.18,   2.87,   3.66,-0.37,-0.05, 0.93
  48.00,  -6.95,   1.22,  -1.77,-0.38,-0.06, 0.92
  49.48,  -1.04,   7.87,   3.66,-0.39,-0.06, 0.90
  50.52,   7.69,  -1.77,   0.49,-0.39,-0.05, 0.90
  51.78,  10.37,  -2.99,  -2.87,-0.39,-0.04, 0.90
  54.08,   3.54,   0.49,  -1.83,-0.40,-0.04, 0.91
  56.23,   3.23,  -2.26,  -2.13,-0.39,-0.03, 0.92
  58.60,   2.20,  -0.18,   1.46,-0.39,-0.03, 0.91
  60.83,  -3.29,   4.03,   0.61,-0.39,-0.03, 0.92
  63.13,  -0.98,   0.73,  -2.32,-0.39,-0.02, 0.91
  65.73,  -0.18,   2.38,  -0.61,-0.40,-0.02, 0.90
  67.73,  -2.87,   1.22,  -1.28,-0.40,-0.01, 0.91
  69.51,   0.61,   2.56,  -3.84,-0.39,-0.03, 0.90
  70.25,   2.93,   1.83,  -0.43,-0.40,-0.04, 0.90
  71.07,  -1.40,   4.70,  -0.49,-0.40,-0.03, 0.90
  71.88,   3.23,  -0.85,   1.16,-0.40,-0.01, 0.90
  73.37,   2.44,   1.22,  -1.83,-0.40,-0.01, 0.91
  74.85,  -0.49,  -0.06,  -2.56,-0.40,-0.02, 0.92
  76.18,  -1.95,   3.66,   1.59,-0.40,-0.01, 0.91
  77.59,   1.95,  -0.55,  -2.13,-0.40,-0.00, 0.91
  79.23,   1.83,   1.46,  -0.12,-0.41,-0.01, 0.89
  80.71,  -3.60,  -0.31,   1.40,-0.41,-0.04, 0.91
  81.67,   1.65,  -0.92,   1.52,-0.40,-0.03, 0.91
  82.19,  -3.72,  -1.10,  -2.56,-0.41,-0.01, 0.91
  83.01,   2.13,  -2.32,   1.59,-0.41,-0.04, 0.90
  83.31,   2.44,  -1.71,  -1.77,-0.40,-0.02, 0.91
  83.45,   4.09,   2.81,   5.80,-0.40,-0.00, 0.91
  84.05,   1.10,   0.43,   0.06,-0.40,-0.00, 0.91
  84.34,   0.98,   1.28,   0.49,-0.40,-0.00, 0.90
  84.79,   3.48,  -0.79,   3.23,-0.39,-0.00, 0.91
  85.23,   0.00,   1.22,   1.59,-0.40,-0.01, 0.92
  85.53,  -2.01,   0.18,  -3.48,-0.40,-0.01, 0.90
  85.75,   8.30,  -2.87,  -3.72,-0.40,-0.00, 0.90
  85.83,   3.72,  -0.98,  -5.80,-0.40, 0.01, 0.91
  85.90,   1.83,   1.46, -12.87,-0.39, 0.02, 0.92
  86.13,   8.91,  -8.17, -17.39,-0.40, 0.01, 0.90
  86.64,   2.44,  -3.60, -23.49,-0.39, 0.02, 0.91
  86.87,  -3.96,  15.07, -37.27,-0.42,-0.06, 0.90
  87.24,  21.78,  -0.12, -50.26,-0.42,-0.12, 0.89
  88.05,  23.24,  -1.77, -63.01,-0.40,-0.10, 0.91
  88.42,   2.13,   2.32, -48.56,-0.34,-0.14, 0.93
  89.46,   9.58,   0.37, -25.62,-0.34,-0.11, 0.92
  90.65,   5.25,   3.05,  -9.09,-0.33,-0.11, 0.93
  92.06,   9.15,  -0.49,  -9.94,-0.33,-0.08, 0.93
  93.17,   1.89,   9.15,   0.06,-0.35,-0.07, 0.92
  93.99,  -1.40,  13.48,  -5.12,-0.37,-0.09, 0.91
  94.95,   0.06,   1.83,  -3.05,-0.38,-0.05, 0.92
  96.73,  -6.59,   7.38,  -0.18,-0.38,-0.09, 0.92
  97.25,  12.02,   0.24,  -4.27,-0.39,-0.02, 0.91
  99.85,   3.29,   8.85,   0.00,-0.41,-0.06, 0.90
 102.07,   7.99,   1.59,   2.32,-0.42,-0.05, 0.89
 104.82,   5.25,   4.39,   2.56,-0.42,-0.06, 0.90
 107.04,   7.08,  -1.10,  -1.59,-0.42,-0.03, 0.90
 109.94,   1.65,   3.11,   1.10,-0.43,-0.03, 0.88
 112.39,   1.46,   1.89,  -5.06,-0.43,-0.06, 0.89
 113.50,   3.96,   0.31,  -6.59,-0.43,-0.04, 0.89
 114.24,   4.57,   2.68,   3.05,-0.43,-0.03, 0.90
 115.58,   0.98,   2.99,  -2.44,-0.44,-0.04, 0.88
 117.36,   4.82,   1.83,  11.90,-0.44,-0.00, 0.89
 119.80,   9.76,  -2.38,   5.92,-0.44,-0.02, 0.88
 121.95,   7.01,  -1.28,   2.32,-0.43, 0.01, 0.89
 124.63,  -0.37,   4.51,  -2.13,-0.44,-0.03, 0.89
 127.15,   3.84,   2.13,   5.12,-0.44,-0.01, 0.89
 130.04,   5.37,  -0.85,   5.43,-0.45,-0.01, 0.89
 131.97,   3.90,  -1.89,  -5.61,-0.44,-0.01, 0.89
 132.04,   0.37,   0.18,  -0.06,-0.45, 0.00, 0.88
 132.71,   0.31,   2.44,  -1.22,-0.44, 0.04, 0.89
 134.05,  10.80,  -6.16,   1.77,-0.43, 0.03, 0.89
 134.19,   7.14,   4.51,   1.10,-0.48,-0.00, 0.85
 134.94,  -8.30,   5.18,   2.01,-0.48,-0.00, 0.86
 135.09,   0.67,  -3.42,  -3.96,-0.46, 0.03, 0.89
 135.31,   5.37,  -0.92, -10.13,-0.47, 0.02, 0.88
 135.98,  13.66,   1.28, -20.19,-0.48, 0.06, 0.87
 136.64,  28.49, -10.13, -22.20,-0.48, 0.01, 0.86
 136.72,  84.30, -16.90, -73.99,-0.44, 0.08, 0.84
 137.09,  44.29,  -5.18, -54.96,-0.45, 0.19, 0.85
 137.38,  27.88,   0.55, -53.62,-0.47, 0.14, 0.85
 138.13,  62.16, -13.54, -35.99,-0.49, 0.22, 0.83
 139.98,   9.82,  -4.27, -11.10,-0.49, 0.14, 0.84
 140.80,   4.64,  -3.90,   2.44,-0.49, 0.19, 0.82
 143.84,  -0.43,  -2.26,  12.81,-0.49, 0.17, 0.83
 148.44,  -6.41,  -0.31,   9.52,-0.47, 0.15, 0.86
 152.89,  -6.47,  -1.65,   3.72,-0.46, 0.14, 0.86
 156.67,   4.76,   1.28,  15.98,-0.48, 0.20, 0.83
 161.49,   0.24,   0.24,   2.07,-0.47, 0.18, 0.85
 164.91,   3.11,  -2.32,  -5.73,-0.48, 0.23, 0.83
 167.73,   8.17,   0.37,  -3.60,-0.48, 0.24, 0.82
 172.47,  -2.07,   4.88,   9.21,-0.49, 0.22, 0.83
 179.15,  -1.71,  -0.24,  11.47,-0.48, 0.21, 0.83
 183.97,  -0.55,   2.50,   3.23,-0.47, 0.17, 0.84
 189.31,   3.96,   1.95,  -0.73,-0.49, 0.21, 0.83
 193.91,   7.44,  -1.40,  -1.71,-0.48, 0.25, 0.82
 198.29,   8.23,   1.34,  -4.76,-0.48, 0.23, 0.83
 202.00,  -1.65,  -2.44,  -7.38,-0.48, 0.20, 0.84
 205.04,  -1.95,   1.65,   0.31,-0.48, 0.28, 0.82
 210.01,   2.38,   1.46,  -0.31,-0.49, 0.24, 0.81
 213.35,   4.88,   0.24,   0.12,-0.48, 0.25, 0.82
 216.31,  -0.37,  -3.23,   0.31,-0.47, 0.23, 0.84
 218.32,   6.28,  -0.55,  -0.06,-0.47, 0.25, 0.84
 220.17, -10.98,  -1.22,  -5.55,-0.45, 0.23, 0.84
 222.17,   3.17,  -1.28,  -0.67,-0.47, 0.25, 0.83
 223.29,  -5.43,  -0.37,  -1.77,-0.46, 0.24, 0.84
 223.51,   0.18,  -0.18,  -3.60,-0.48, 0.26, 0.81
 224.62,   2.68,   0.55,   7.14,-0.47, 0.22, 0.84
 224.92,  -5.86,  -2.07,   4.03,-0.46, 0.24, 0.84
 225.07,  -2.44,   0.37,   3.96,-0.47, 0.23, 0.84
 225.22,   0.43,   1.22,  -3.60,-0.53, 0.30, 0.76
 225.29,   5.43,  -0.12,  -1.04,-0.53, 0.30, 0.77
 225.51,   2.81,   1.77,  -6.71,-0.54, 0.35, 0.75
 226.18,   3.84,  -4.09,   1.71,-0.53, 0.34, 0.76
 226.40,  16.29,   2.81,  -6.95,-0.54, 0.29, 0.76
 226.63,   2.74,  -3.96, -24.46,-0.51, 0.28, 0.78
 230.11,   6.83,  -5.92, -52.52,-0.60, 0.09, 0.78
 230.93, -18.36,  -9.03, -17.32,-0.57,-0.02, 0.82
 232.41,   2.99,  -3.84, -15.68,-0.57,-0.03, 0.81
 233.60,  26.05,  -0.37,  23.00,-0.57,-0.25, 0.79
 236.94,   7.87,   9.39,   2.44,-0.56,-0.04, 0.81
 239.46, -17.87,   1.34, -12.63,-0.58,-0.04, 0.80
 242.95,  -1.28,   1.28,   0.79,-0.57,-0.12, 0.80
 247.32,  10.13,  -1.10,  12.93,-0.58, 0.03, 0.81
 252.59,  -5.86,  -3.29,   6.16,-0.57,-0.03, 0.81
 255.70,   2.32,   2.01,   6.34,-0.57,-0.00, 0.81
 259.78,   0.49,   1.16,  -1.71,-0.57,-0.03, 0.81
 263.94,   5.43,   1.46,   7.50,-0.58,-0.04, 0.81
 267.35,   1.40,  -2.26,   4.33,-0.58,-0.03, 0.80
 270.47,  10.80,   1.10,   8.66,-0.58,-0.13, 0.80
 272.10,  -2.13,  -5.55,  -3.54,-0.58,-0.05, 0.80
 274.10,  -2.99,  -1.71,  -2.56,-0.58,-0.10, 0.80
 274.47,  -1.34,  -0.55,  -1.71,-0.58,-0.04, 0.80
 274.55,  -5.18,  -2.32,  -4.09,-0.57,-0.05, 0.80
 275.73,   8.72,   1.22,  -0.31,-0.58,-0.06, 0.81
 276.03,   1.22,  -0.43,  -0.67,-0.56,-0.02, 0.82
 278.03, -39.83, -60.57, -33.24,-0.53, 0.03, 0.75
